"School_Name","Address"
"SAHK B M KOTEWALL MEMORIAL SCHOOL","22 KWAI HOP STREET KWAI CHUNG NEW TERRITORIES"
"SAM SHUI NATIVES ASSN LAU PUN CHEUNG SCH","ESTATE SCHOOL NO. 3 BLOCK 10 KWAI SHING ESTATE NEW TERRITORIES"
"ANANI KINDERGARTEN","UNIT B & C, PODIUM LEVEL SHOPPING CENTRE, SHEK YAM ESTATE KWAI CHUNG NEW TERRITORIES"
"CCC CHUEN YUEN KINDERGARTEN","UNIT NO 4, PODIUM LEVEL 3 KWAI CHUNG SHOPPING CENTRE KWAI CHUNG ESTATE KWAI CHUNG NEW TERRITORIES"
"CHINESE YMCA KWAI CHUNG KINDERGARTEN","UNIT NO 3, PODIUM LEVEL 3 KWAI CHUNG SHOPPING CENTRE KWAI CHUNG ESTATE NEW TERRITORIES"
"ESF INTERNATIONAL KINDERGARTEN(TSING YI)","G/F AND MEZZANINE/F 33 TSING KING ROAD TSING YI NEW TERRITORIES"
"FU YIU KINDERGARTEN","G/F 
							SOUTH,WEST & NORTH WINGS FU YIU HOUSE LAI YIU ESTATE KWAI CHUNG NEW TERRITORIES"
"GREENVILLE ANGLO-CHINESE KINDERGARTEN","PODIUM FLOOR NEW KWAI FONG GARDENS KWAI CHUNG NEW TERRITORIES"
"HEEP HONG SOCIETY SFA HEALTHY KIDS KG","UNITS 10 - 16, G/F., KWAI TAK HOUSE KWAI FONG ESTATE KWAI CHUNG NEW TERRITORIES"
"HK SKH THE CHURCH OF THE EPIPHANY KG","BROADVIEW GARDEN 1 TSING LUK STREET TSING YI NEW TERRITORIES"
"ISLAMIC POK OI KINDERGARTEN","G/F 
							108-114  ON CHING HOUSE CHEUNG ON ESTATE PHASE II TSING YI ISLAND NEW TERRITORIES"
"KWAI CHUNG BAPTIST CHURCH KINDERGARTEN","G-2/F 
							21 TAI LOONG STREET KWAI CHUNG NEW TERRITORIES"
"KWAI SHING RHENISH CHURCH KINDERGARTEN","NO. G1, G/F., SHING KWOK HOUSE KWAI SHING EAST ESTATE KWAI CHUNG NEW TERRITORIES"
"LOK KING KINDERGARTEN","G/F 
							SOUTHERN END OF LOK KING HOUSE LAI KING ESTATE KWAI CHUNG NEW TERRITORIES"
"PEACE EVANGELICAL CENTRE KG (TSING YI)","G/F, WANG CHING HOUSE & WANG NGAI HOUSE CHEUNG WANG ESTATE TSING YI NEW TERRITORIES"
"PLK FIONA CHEUNG SUM YU KINDERGARTEN","UNITS NO. 208-214 FU CHING HOUSE, TAI WO HAU ESTATE TSUEN WAN NEW TERRITORIES"
"PLK MRS CHAO KING LIN KINDERGARTEN","G/F 
							ON YUN HOUSE CHEUNG ON ESTATE TSING YI NEW TERRITORIES"
"PLK MRS TAM WAH CHING KINDERGARTEN","UNIT 703, 7/F, SEUNG LAI HOUSE WAH LAI ESTATE LAI CHI KOK KOWLOON"
"PLK TIN KA PING KINDERGARTEN","G/F BLK O 
							CHING SHING COURT, LEVEL 1 CHEUNG HONG ESTATE TSING YI ISLAND NEW TERRITORIES"
"ROCK OF AGES LUTHERAN KINDERGARTEN","NO 1, G/F, SHEK SAU HOUSE SHEK LEI (I) ESTATE KWAI CHUNG NEW TERRITORIES"
"SIN CHING KINDERGARTEN","NO 8, G/F, FUNG KING HOUSE LAI KING ESTATE KWAI CHUNG NEW TERRITORIES"
"SKH CROWN OF THORNS CHURCH KWAI CHUNG KG","UNIT 4  G/F  CHUN KWAI HOUSE KWAI CHUNG ESTATE KWAI CHUNG NEW TERRITORIES"
"SKH CROWN OF THORNS CHURCH SADICK KG","PORTION G/F - 1/F &  PORTION 3/F - 4/F 67-73 TEXACO ROAD TSUEN WAN NEW TERRITORIES"
"ST STEPHEN'S CATHOLIC KINDERGARTEN","G/F 
							14 WING FONG ROAD HA KWAI CHUNG NEW TERRITORIES"
"ST THOMAS' CATHOLIC KINDERGARTEN","5 TSING LUK STREET TSING YI NEW TERRITORIES"
"SUN ISLAND ENGLISH KG (KWAI HING BRANCH)","PART OF 2/F & 3/F KCTL 377 SUN KWAI HING GARDEN KWAI CHUNG NEW TERRITORIES"
"SUNG KEI KINDERGARTEN","G/F BLK 6 
							KWAI SHING WEST ESTATE KWAI CHUNG"
