"School_Name","Address"
"BUDDHIST CHI KWONG KINDERGARTEN","KINDERGARTEN NO. 2 AT 3/F. ANCILLARY FACILITIES BLOCK TIN YUET ESTATE TIN SHUI WAI NEW TERRITORIES"
"CASTAR KINDERGARTEN","KINDERGARTEN NO. 1, 3/F ANCILLARY FACILITIES BLOCK TIN WAH ESTATE, TIN SHUI WAI YUEN LONG NEW TERRITORIES"
"CHINESE YMCA KINDERGARTEN","KINDERGARTEN AT 2/F ANCILLARY FACILITIES BLOCK TIN YUET ESTATE TIN SHUI WAI NEW TERRITORIES"
"CHR ALLIANCE CHEN LEE WING TSING MEM KG","WING A & B, G/F, YIU CHEONG HOUSE TIN YIU ESTATE TIN SHUI WAI NEW TERRITORIES"
"CUHK FAA CHAN CHUN HA KINDERGARTEN","KINDERGARTEN NO 1, ROOF FLOOR TIN YAN SHOPPING CENTRE, TIN YAN ESTATE TIN SHUI WAI NEW TERRITORIES"
"CUHK FAA SHUN LUNG YAN CHAK KINDERGARTEN","2/F., ANCILLARY FACILITIES BLOCK TIN SHING COURT 3 TIN CHING STREET TIN SHUI WAI, YUEN LONG NEW TERRITORIES"
"EIS INTERNATIONAL PRE-SCHOOL","NO. 1, SAN WAI TSUEN, SAN TIN, YUEN LONG NEW TERRITORIES"
"ELITE KIDS ANGLO-CHINESE KINDERGARTEN","SHOP NO KG01, G/F, BLOCK A TIN LAI COURT TIN SHUI WAI, YUEN LONG NEW TERRITORIES"
"GUIDEPOSTS KG 3RD BR (TIN SHUI ESTATE)","G/F, BLOCK 11, SHUI LAM HOUSE TIN SHUI ESTATE, PHASE 4 TIN SHUI WAI, YUEN LONG NEW TERRITORIES"
"HHCKLA BUDDHIST LAM WONG MING WAI KG","G/F  WING B & C  TSZ SUM HOUSE TIN TSZ ESTATE TIN SHUI WAI NEW TERRITORIES"
"HO SHUI KG SPONSORED BY SIK SIK YUEN","G/F 
							SHUI SING HOUSE, (BLOCK 5) TIN SHUI ESTATE TIN SHUI WAI, YUEN LONG NEW TERRITORIES"
